Alm_type,Inci_no   ,Unit  ,Resp_code,Station,District,Inci_type,Inci_desc                                         ,Alm_date  ,Disp_time,Notif_time,Roll_time,Arv_time,Clr_time_b,Shift,Mutl_aid,Alarms     ,Prop_loss            ,Cont_loss            ,Prop_val             ,Cont_val             ,Prop_use,Number  ,St_prefix,Street                   ,St_suffix,St_type,Zip       
93,20-2000002,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/1/2020,0:09:47,0:10:00,0:10:59,0:13:59,0:14:56,A    ,N       ,1,0,0,0,0,962,185,S        ,ELIZABETH                ,         ,ST     ,27701
26,20-2000008,1SQ   ,1,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/1/2020,1:12:16,1:13:20,1:14:50,1:16:36,1:22:18,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
31,20-2000025,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/1/2020,6:54:20,6:58:13,6:58:39,7:03:49,7:13:38,B    ,N       ,1,0,0,0,0,429A    ,713,         ,LIBERTY                  ,         ,ST     ,27701
32,20-2000028,1SQ   ,3,1,1,622,No Incident found on arrival at dispatch address  ,1/1/2020,7:39:04,7:43:19,7:43:54,7:50:04,7:51:17,B    ,N       ,1,0,0,0,0,429A    ,504,         ,HOLLOWAY                 ,         ,ST     ,27701
12,20-2000039,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/1/2020,11:31:38,11:34:38,11:35:23,11:38:46,11:56:03,B    ,N       ,1,0,0,0,0,429A    ,200,E        ,UMSTEAD                  ,         ,ST     ,27707
6,20-2000046,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/1/2020,12:39:55,12:40:46,12:41:32,12:44:02,12:46:33,B    ,N       ,1,0,0,0,0,429A    ,211,         ,STOKES                   ,         ,ST     ,27701
6,20-2000063,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/1/2020,16:17:28,16:19:02,16:20:03,16:22:41,16:23:04,B    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
69,20-2000072,1SQ   ,C        ,15,LEB     ,151,"Outside rubbish, trash or waste fire              ",1/1/2020,17:46:15,17:48:41,17:49:43,        ,18:02:02,B    ,4,1,0,0,0,0,        ,4821,         ,STANLEY                  ,         ,RD     ,27704
60,20-2000075,1SQ   ,3,1,1,412,Gas leak (natural gas or LPG)                     ,1/1/2020,18:34:49,18:35:41,18:36:46,18:43:04,18:51:48,B    ,N       ,1,0,0,0,0,519,806,         ,FAYETTEVILLE             ,         ,ST     ,27707
69,20-2000083,1SQ   ,C        ,6,6,440,"Electrical  wiring/equipment problem, Other       ",1/1/2020,21:28:36,21:30:26,21:30:56,        ,21:37:42,B    ,N       ,1,0,0,0,0,419,107,         ,LOCHRIDGE                ,         ,DR     ,27713
6,20-2000090,1SQ   ,C        ,5,5,321,"EMS call, excluding vehicle accident with injury  ",1/1/2020,21:49:26,21:51:10,         ,        ,21:52:00,B    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
26,20-2000095,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/1/2020,22:32:10,22:34:03,22:34:47,22:37:57,22:46:52,B    ,N       ,1,0,0,0,0,429A    ,804,         ,ANGIER                   ,         ,AVE    ,27701
6,20-2000096,1SQ   ,1,1,1,311,"Medical assist, assist EMS crew                   ",1/1/2020,22:40:48,22:48:09,22:48:09,22:50:22,22:57:14,B    ,N       ,1,0,0,0,0,419,124,         ,CHESTNUT                 ,         ,ST     ,27707
9,20-2000119,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/2/2020,9:25:27,9:27:08,9:27:56,9:31:07,9:33:05,C    ,N       ,1,0,0,0,0,963,1233,         ,UNIVERSITY               ,         ,DR     ,27707
97,20-2000124,1SQ   ,1,9,51,311D     ,"Dispatched as ""Assist"" PD, Medic, Lift Assist     ",1/2/2020,9:45:54,10:00:39,10:01:30,10:07:51,10:14:57,C    ,N       ,1,0,0,0,0,419,2509,         ,HIGHLAND                 ,         ,AVE    ,27704
69,20-2000138,1SQ   ,C        ,16,16,111,Building fire                                     ,1/2/2020,12:57:28,13:09:30,13:09:54,        ,13:17:46,C    ,N       ,1,15000,15000,0,0,581,6910,         ,FAYETTEVILLE             ,         ,RD     ,27713
26,20-2000155,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/2/2020,15:57:44,15:59:23,16:00:24,16:04:15,16:14:36,C    ,N       ,1,0,0,0,0,429A    ,815,S        ,ROXBORO                  ,         ,ST     ,27707
26,20-2000160,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/2/2020,16:46:43,16:50:27,16:51:42,16:54:14,17:00:00,C    ,N       ,1,0,0,0,0,419,412,N        ,ELIZABETH                ,         ,ST     ,27701
19,20-2000168,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/2/2020,17:58:28,18:00:30,18:01:37,18:05:39,18:14:12,C    ,N       ,1,0,0,0,0,429A    ,1713,         ,ROSETTA                  ,         ,DR     ,27701
18,20-2000170,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/2/2020,18:22:35,18:24:59,18:25:57,18:28:38,18:29:47,C    ,N       ,1,0,0,0,0,963,        ,E        ,PETTIGREW                ,         ,ST     ,27701
26,20-2000174,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/2/2020,19:00:59,19:02:41,19:03:28,19:05:50,19:07:21,C    ,N       ,1,0,0,0,0,419,710,         ,LIBERTY                  ,         ,ST     ,27701
69,20-2000177,1SQ   ,3,8,8,651,"Smoke scare, odor of smoke                        ",1/2/2020,19:23:49,19:26:28,19:26:51,19:32:42,19:35:51,C    ,N       ,1,0,0,0,0,419,613,         ,PEARL KNOLL              ,         ,CIR    ,27703
26,20-2000188,1SQ   ,3,1,1,611,Dispatched & cancelled en route                   ,1/2/2020,20:38:40,20:40:47,20:41:37,20:43:09,20:45:02,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2000190,1SQ   ,3,5,5,311,"Medical assist, assist EMS crew                   ",1/2/2020,21:50:59,21:53:20,21:54:29,21:58:14,22:04:02,C    ,N       ,1,0,0,0,0,429A    ,500,         ,COBB                     ,         ,ST     ,27707
26,20-2000199,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/3/2020,2:27:14,2:28:39,2:29:52,2:32:11,2:41:22,C    ,N       ,1,0,0,0,0,419,510,         ,GRAY                     ,         ,AVE    ,27701
12,20-2000214,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",1/3/2020,6:42:07,6:45:47,6:46:47,6:54:19,6:54:29,C    ,N       ,1,0,0,0,0,141,404,         ,HUNT                     ,         ,ST     ,27701
69,20-2000254,1SQ   ,3,3,3,111,Building fire                                     ,1/3/2020,14:50:09,14:52:40,14:53:04,        ,14:57:34,B    ,N       ,1,1000,0,0,0,429,1243,         ,NAPLES                   ,         ,PL     ,27703
60,20-2000255,1SQ   ,3,2,2,412,Gas leak (natural gas or LPG)                     ,1/3/2020,15:11:41,15:12:32,15:13:52,15:17:49,15:19:59,B    ,N       ,1,0,0,0,0,580,1058,W        ,CLUB                     ,         ,BLVD   ,27701
26,20-2000269,1SQ   ,3,5,51,321,"EMS call, excluding vehicle accident with injury  ",1/3/2020,18:05:45,18:07:31,18:08:42,18:10:57,18:23:04,B    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
10,20-2000289,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",1/3/2020,22:33:53,22:36:03,22:37:12,22:39:46,22:41:47,B    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
GS      ,20-2000290,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/3/2020,23:07:08,23:09:56,23:11:19,23:14:23,23:20:58,B    ,N       ,1,0,0,0,0,419,905,         ,COLFAX                   ,         ,ST     ,27701
28,20-2000291,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",1/4/2020,0:12:00,0:13:18,0:14:36,0:17:23,0:30:31,B    ,N       ,1,0,0,0,0,419,121,W        ,SEEMAN                   ,         ,ST     ,27701
10,20-2000293,1SQ   ,3,2,51,321,"EMS call, excluding vehicle accident with injury  ",1/4/2020,1:16:42,1:19:13,1:20:37,1:22:58,1:29:14,B    ,N       ,1,0,0,0,0,960,        ,W        ,MAIN                     ,         ,ST     ,27701
